,period,WCESTUS1,WCESTP11,WCESTP21,WCESTP31,WCESTP41,WCESTP51,W_EPC0_SAX_YCUOK_MBBL,crudeStocksP2E,WCSSTUS1,W_EPC0_SKA_NUS_MBBL,WCRSTUS1
1,2015-01-02,348806,11813,102885,172676,15709,45723,32098,70787,690961,4113,1039767
2,2015-01-09,354195,12485,105172,173585,15443,47510,33874,71298,690959,4302,1045154
3,2015-01-16,364266,12542,112457,174839,15663,48766,36783,75674,690958,3500,1055224
4,2015-01-23,373140,12875,113538,180347,15785,50595,38868,74670,690957,4315,1064097
5,2015-01-30,379473,12382,116448,183975,16279,50389,41384,75064,690957,4123,1070430
6,2015-02-06,383800,12052,117529,185753,16524,51942,42598,74931,690956,4190,1074756
7,2015-02-13,391516,15123,121484,187798,16542,50569,46261,75223,690955,3510,1082471
8,2015-02-20,399943,16819,123417,192085,16502,51119,48680,74737,690955,4033,1090898
9,2015-02-27,410246,16450,126691,197474,16381,53250,49216,77475,690955,4961,1101201
10,2015-03-06,415425,16018,128637,200461,16504,53805,51538,77099,690953,5024,1106378
11,2015-03-13,425047,16312,131751,203731,17129,56123,54403,77348,690953,3519,1116000
12,2015-03-20,433217,15682,136448,205293,18058,57736,56314,80134,690952,4677,1124169
13,2015-03-27,437983,15211,140751,206665,18486,56870,58943,81808,690952,4021,1128935
14,2015-04-03,449662,17592,140171,215038,19361,57500,60175,79996,690952,3539,1140614
15,2015-04-10,450956,16358,140399,215679,19588,58932,61462,78937,690950,3711,1141906
16,2015-04-17,456271,15964,139911,221204,20332,58860,62200,77711,690950,5839,1147221
17,2015-04-24,458181,17482,139833,222519,20281,58066,61686,78147,690948,3919,1149129
18,2015-05-01,454079,17329,138176,221387,20124,57063,61674,76502,690948,5243,1145027
19,2015-05-08,451888,17050,137322,220615,19581,57320,60684,76638,690947,3769,1142835
20,2015-05-15,449214,18012,136137,221408,18532,55124,60443,75694,691260,4001,1140474
21,2015-05-22,446412,16043,136842,220386,18682,54460,60010,76832,691847,3757,1138259
22,2015-05-29,444464,16512,135218,216869,18506,57359,59027,76191,692346,5675,1136810
23,2015-06-05,438447,16724,132450,215305,17959,56009,58003,74447,692345,4288,1130792
24,2015-06-12,435771,16530,132908,213430,17388,55515,58115,74793,692944,3200,1128715
25,2015-06-19,430837,16936,131668,209267,17641,55325,56245,75423,693294,2920,1124131
26,2015-06-26,433223,15365,132289,213141,17592,54835,56368,75921,693692,4100,1126915
27,2015-07-03,433714,15646,131796,212877,17416,55980,56667,75129,694223,5160,1127937
28,2015-07-10,429368,13720,132790,210756,17844,54259,57105,75685,694622,4558,1123990
29,2015-07-17,431836,14157,133041,213252,17888,53497,57918,75123,695135,5167,1126971
30,2015-07-24,427633,14465,133230,210088,17670,52179,57706,75524,695134,2645,1122767
31,2015-07-31,423226,14308,132694,206687,18146,51392,57164,75530,695134,2825,1118360
