id,name,uom
ABRIPUS,aviation gasoline blend components refinery input,mbd
ARTCPUS,asphalt and road oil product supplied,mbd
BACHCGW_US,u.s. commercial and industrial sectors battery storage net summer generating capacity,gw
BAEPCGW_US,u.s. electric power sector battery storage net summer generating capacity,gw
BALIT,natural gas balancing item (consumption - supply),bcfd
BDNIPUS,biodiesel net imports,mbd
BDPRPUS,biodiesel production,mbd
BDPSPUS,biodiesel inventory,mb
BDRIPUS,biodiesel net inputs,mbd
BDTCBUS,consumption of energy from biomass-based diesel by all sectors,qbtu
BDTCPUS,biodiesel consumption,mbd
BDTCPUS_PS,biodiesel product supplied,mbd
BFACBUS,subtotal renewable energy consumption: transportation sector,qbtu
BFLCBUS,biofuel losses and co-products,qbtu
BFPSPUS,total biofuels inventories,mb
BFPSPUS_DRAW,biofuel stock draw,mbd
BFSUPPLY,total biofuels supply,mbd
BFTCBUS,biofuel total consumption,qbtu
BFTCPUS,total biofuels consumption,mbd
BMCHCAP_US,comm. and indus. sectors total biomass net summer capacity,mw
BMCHGEN_US,"industrial and commercial sector net generation from biomass (all types), united states",bkwh
BMCMGEN_US,"commercial sector net generation from biomass, united states",bkwh
BMEPCAP_US,electric power sector total biomass net summer capacity,mw
BMEPGEN_CA,"electric power sector net generation from biomass, california",bkwh
BMEPGEN_FL,"electric power sector net generation from biomass, florida (frcc)",bkwh
BMEPGEN_HA,"electric power sector net generation from biomass, hawaii and alaska",bkwh
BMEPGEN_MW,"electric power sector net generation from biomass, midwest (midcontinent iso)",bkwh
BMEPGEN_NE,"electric power sector net generation from biomass, new england (iso-ne)",bkwh
BMEPGEN_NW,"electric power sector net generation from biomass, northwest",bkwh
BMEPGEN_NY,"electric power sector net generation from biomass, new york (nyiso)",bkwh
BMEPGEN_PJ,"electric power sector net generation from biomass, mid-atlantic (pjm)",bkwh
BMEPGEN_SE,"electric power sector net generation from biomass, southeast (serc)",bkwh
BMEPGEN_SP,"electric power sector net generation from biomass, central (spp iso)",bkwh
BMEPGEN_SW,"electric power sector net generation from biomass, southwest",bkwh
BMEPGEN_TX,"electric power sector net generation from biomass, texas (ercot)",bkwh
BMEPGEN_US,"electric power sector net generation from biomass, united states",bkwh
BMINGEN_US,"industrial sector net generation from biomass, united states",bkwh
BMTOGEN_US,"net generation from biomass, all sectors, united states",bkwh
BREPUUS,brent crude oil spot price,usd/bbl
BTTCBUS,"biodiesel, renewable diesel, and other",qbtu
C3PSPP1,propane padd 1 (east coast) inventory,mb eop
C3PSPP2,propane padd 2 (midwest) inventory,mb eop
C3PSPP3,propane padd 3 (gulf coast) inventory,mb eop
C3PSPP4,propane padd 4 (rocky mountain) inventory,mb eop
C3PSPP5,propane padd 5 (west coast) inventory,mb eop
C3PSPUS,propane us total inventory,mb eop
C3ROPUS,propane refinery and blender net production,mbd
C3TCPUS,propane consumption,mbd
C4FPPUS,butanes production at natural gas processing plants,mbd
C4NIPUS,butanes/butylenes net imports,mbd
C4PSPUS,butanes/butylenes inventory,mb eop
C4RIPUS,butanes refinery and blender net inputs,mbd
C4ROPUS,butanes/butylenes refinery and blender net production,mbd
C4TCPUS,butanes/butylenes product supplied,mbd
CGSP_ENC,real gross state product e. n. central,b2017usd (saar)
CGSP_ESC,real gross state product e. s. central,b2017usd (saar)
CGSP_MAC,real gross state product middle atlantic,b2017usd (saar)
CGSP_MTN,real gross state product mountain,b2017usd (saar)
CGSP_NEC,real gross state product new england,b2017usd (saar)
CGSP_PAC,real gross state product pacific,b2017usd (saar)
CGSP_SAC,real gross state product s. atlantic,b2017usd (saar)
CGSP_WNC,real gross state product w. n. central,b2017usd (saar)
CGSP_WSC,real gross state product w. s. central,b2017usd (saar)
CHEOPUS,comm. and indus. sectors total generation,bkwhd
CHEOTWH,"total net generation of electricity from large-scale power plants, commercial and industrial sectors, united states",bkwh
CICPIUS,consumer price index (all urban consumers),index 82-84=1.00
CLAJPUS_TON,coal supply-demand discrepancy,mmst
CLCEPUS,commercial sector generation from coal,bkwhd
CLCHCGW_US,u.s. commercial and industrial sectors coal net summer generating capacity,gw
CLCMCNS_US,"commercial sector consumption of coal, united states",kst
CLCMGEN_US,"commercial sector net generation from coal, united states",bkwh
CLCOPUS,industrial sector generation from coal,bkwhd
CLEPCGW_US,u.s. electric power sector coal net summer generating capacity,gw
CLEPCNS_CA,"electric power sector  consumption of coal, california",kst
CLEPCNS_FL,"electric power sector  consumption of coal, florida (frcc)",kst
CLEPCNS_HA,"electric power sector  consumption of coal, hawaii and alaska",kst
CLEPCNS_MW,"electric power sector  consumption of coal, midwest (midcontinent iso)",kst
CLEPCNS_NE,"electric power sector  consumption of coal, new england (iso-ne)",kst
CLEPCNS_NW,"electric power sector  consumption of coal, northwest",kst
CLEPCNS_NY,"electric power sector  consumption of coal, new york (nyiso)",kst
CLEPCNS_PJ,"electric power sector  consumption of coal, mid-atlantic (pjm)",kst
CLEPCNS_SE,"electric power sector  consumption of coal, southeast (serc)",kst
CLEPCNS_SP,"electric power sector  consumption of coal, central (spp iso)",kst
CLEPCNS_SW,"electric power sector  consumption of coal, southwest",kst
CLEPCNS_TX,"electric power sector  consumption of coal, texas (ercot)",kst
