aspect,location
WCESTUS1,US Commercial Stocks (kb)
WCESTP11,P1 Commercial Stocks (kb)
WCESTP21,P2 Commercial Stocks (kb)
WCESTP31,P3 Commercial Stocks (kb)
WCESTP41,P4 Commercial Stocks (kb)
WCESTP51,P5 Commercial Stocks (kb)
W_EPC0_SAX_YCUOK_MBBL,Cushing Crude Stocks (kb)
crudeStocksP2E,P2E Crude Stocks (kb)
WCSSTUS1,SPR Stocks (kb)
W_EPC0_SKA_NUS_MBBL,Alaska Crude Stocks (kb)
WCRSTUS1,Total Stocks (kb)
WCREXUS2,US Crude Exports (kbd)
WCRRIUS2,US Refinery Runs (kbd)
WCRRIP12,P1 Refinery Runs (kbd)
WCRRIP22,P2 Refinery Runs (kbd)
WCRRIP32,P3 Refinery Runs (kbd)
WCRRIP42,P4 Refinery Runs (kbd)
WCRRIP52,P5 Refinery Runs (kbd)
WCEIMUS2,US Imports (kbd)
WCEIMP12,P1 Imports (kbd)
WCEIMP22,P2 Imports (kbd)
WCEIMP32,P3 Imports (kbd)
WCEIMP42,P4 Imports (kbd)
WCEIMP52,P5 Imports (kbd)
WCRFPUS2,US Production (kbd)
W_EPC0_FPF_R48_MBBLD,L48 Production (kbd)
W_EPC0_FPF_SAK_MBBLD,AK Production (kbd)
crudeOriginalAdjustment,Original Adjustment Factor (kbd)
W_EPC0_TVP_NUS_MBBLD,US Transfer to Crude Supply of Crude (kbd)
W_EPLLCL2A_TVP_NUS_MBBLD,US Trf to Crude Supply of Condy. Prod. and AK NGL (kbd)
W_EPLLNGPU_TVP_NUS_MBBLD,US Trf to Crude Supply of NG and Unf. Oil Prod. Spld. (kbd)
WCRAUUS2,US Crude Adjustment Factor (kbd)
WPULEUS3,US Refinery Utilization (%)
W_NA_YUP_R10_PER,P1 Refinery Utilization (%)
W_NA_YUP_R20_PER,P2 Refinery Utilization (%)
W_NA_YUP_R30_PER,P3 Refinery Utilization (%)
W_NA_YUP_R40_PER,P4 Refinery Utilization (%)
W_NA_YUP_R50_PER,P5 Refinery Utilization (%)
feedstockRunsUS,US Feedstock Runs (kbd)
feddStockRunsP1,P1 Feedstock Runs (kbd)
feedstockRunsP2,P2 Feedstock Runs (kbd)
feedstockRunsP3,P3 Feedstock Runs (kbd)
feedstockRunsP4,P4 Feedstock Runs (kbd)
feedstockRunsP5,P5 Feedstock Runs (kbd)
WGIRIUS2,US Gross Runs (kbd)
WGIRIP12,P1 Gross Runs (kbd)
WGIRIP22,P2 Gross Runs (kbd)
WGIRIP32,P3 Gross Runs (kbd)
WGIRIP42,P4 Gross Runs (kbd)
WGIRIP52,P5 Gross Runs (kbd)
crudeStocksP9,P9 Crude Stocks (kb)
crudeRunsP9,P9 Crude Runs (kbd)
grossRunsP9,P9 Gross Runs (kbd)
feedstockRunsP9,P9 Feedstock Runs (kbd)
crudeImportsP9,P9 Crude Imports (kbd)
W_EPC0_IM0_NUS-NBR_MBBLD,Brazil Imports (kbd)
W_EPC0_IM0_NUS-NCA_MBBLD,Canada Imports (kbd)
W_EPC0_IM0_NUS-NCO_MBBLD,Colombia Imports (kbd)
W_EPC0_IM0_NUS-NEC_MBBLD,Ecuador Imports (kbd)
W_EPC0_IM0_NUS-NIZ_MBBLD,Iraq Imports (kbd)
W_EPC0_IM0_NUS-NMX_MBBLD,Mexico Imports (kbd)
W_EPC0_IM0_NUS-NNI_MBBLD,Nigeria Imports (kbd)
W_EPC0_IM0_NUS-NRS_MBBLD,Russia Imports (kbd)
W_EPC0_IM0_NUS-NSA_MBBLD,Saudi Arabia Imports (kbd)
WGTSTUS1,US Total Motor Gasoline Stocks (kb)
WGTSTP11,P1 Total Motor Gasoline Stocks (kb)
WGTSTP21,P2 Total Motor Gasoline Stocks (kb)
WGTSTP31,P3 Total Motor Gasoline Stocks (kb)
WGTSTP41,P4 Total Motor Gasoline Stocks (kb)
WGTSTP51,P5 Total Motor Gasoline Stocks (kb)
WGTIMUS2,US Total Motor Gasoline Imports (kbd)
WGTIM_R10-Z00_2,P1 Total Motor Gasoline Imports (kbd)
WGTIM_R20-Z00_2,P2 Total Motor Gasoline Imports (kbd)
WGTIM_R30-Z00_2,P3 Total Motor Gasoline Imports (kbd)
WGTIM_R40-Z00_2,P4 Total Motor Gasoline Imports (kbd)
WGTIM_R50-Z00_2,P5 Total Motor Gasoline Imports (kbd)
WGFRPUS2,US Finished Motor Gasoline Production Incl. Adj. (kbd)
WGFRPP12,P1 Finished Motor Gasoline Production Excl. Adj. (kbd)
WGFRPP22,P2 Finished Motor Gasoline Production Excl. Adj. (kbd)
WGFRPP32,P3 Finished Motor Gasoline Production Excl. Adj. (kbd)
WGFRPP42,P4 Finished Motor Gasoline Production Excl. Adj. (kbd)
WGFRPP52,P5 Finished Motor Gasoline Production Excl. Adj. (kbd)
W_EPM0F_EEX_NUS-Z00_MBBLD,US Exports of Total Motor Gasoline (kbd)
WDISTUS1,US Distillate Fuel Oil Stocks (kb)
WDISTP11,P1 Distillate Fuel Oil Stocks (kb)
WDISTP21,P2 Distillate Fuel Oil Stocks (kb)
WDISTP31,P3 Distillate Fuel Oil Stocks (kb)
WDISTP41,P4 Distillate Fuel Oil Stocks (kb)
WDISTP51,P5 Distillate Fuel Oil Stocks (kb)
WDIIMUS2,US Distillate Fuel Oil Imports (kbd)
WDIIM_R10-Z00_2,P1 Distillate Fuel Oil Imports (kbd)
