aspect,location,category,6/21/24,6/14/24,wow,yoy
crude oil production ,us,domestic production,13200.0,13200.0,0.0,1000.0
crude oil production ,us,alaska,410.0,414.0,-4.0,-17.0
crude oil production ,us,lower 48,12800.0,12800.0,0.0,1000.0
refiner inputs and utilization ,us,crude oil inputs,16532.0,16765.0,-233.0,278.0
refiner inputs and utilization ,p1,crude oil inputs,779.0,812.0,-33.0,128.0
refiner inputs and utilization ,p2,crude oil inputs,3881.0,3963.0,-82.0,-176.0
refiner inputs and utilization ,p3,crude oil inputs,9119.0,9129.0,-10.0,496.0
refiner inputs and utilization ,p4,crude oil inputs,619.0,645.0,-26.0,10.0
refiner inputs and utilization ,p5,crude oil inputs,2134.0,2217.0,-83.0,-181.0
refiner inputs and utilization ,us,gross inputs,16895.0,17143.0,-248.0,48.0
refiner inputs and utilization ,p1,gross inputs,829.0,834.0,-5.0,151.0
refiner inputs and utilization ,p2,gross inputs,3889.0,3975.0,-86.0,-193.0
refiner inputs and utilization ,p3,gross inputs,9337.0,9388.0,-51.0,307.0
refiner inputs and utilization ,p4,gross inputs,616.0,641.0,-25.0,8.0
refiner inputs and utilization ,p5,gross inputs,2224.0,2304.0,-80.0,-225.0
refiner inputs and utilization ,us,operable capacity,18326.0,18326.0,0.0,56.0
refiner inputs and utilization ,p1,operable capacity,910.0,910.0,0.0,32.0
refiner inputs and utilization ,p2,operable capacity,4246.0,4246.0,0.0,40.0
refiner inputs and utilization ,p3,operable capacity,9987.0,9987.0,0.0,70.0
refiner inputs and utilization ,p4,operable capacity,652.0,652.0,0.0,2.0
refiner inputs and utilization ,p5,operable capacity,2531.0,2531.0,0.0,-89.0
refiner inputs and utilization ,us,percent utilization,92.2,93.5,-1.2999999999999972,0.0
refiner inputs and utilization ,p1,percent utilization,91.1,91.7,-0.6000000000000085,13.899999999999991
refiner inputs and utilization ,p2,percent utilization,91.6,93.6,-2.0,-5.5
refiner inputs and utilization ,p3,percent utilization,93.5,94.0,-0.5,2.4000000000000057
refiner inputs and utilization ,p4,percent utilization,94.4,98.3,-3.8999999999999915,0.9000000000000057
refiner inputs and utilization ,p5,percent utilization,87.9,91.0,-3.0999999999999943,-5.599999999999994
refiner and blender net inputs ,us,motor gasoline blending components,625.0,829.0,-204.0,419.0
refiner and blender net inputs ,p1,motor gasoline blending components,2537.0,2580.0,-43.0,60.0
refiner and blender net inputs ,p2,motor gasoline blending components,304.0,221.0,83.0,155.0
refiner and blender net inputs ,p3,motor gasoline blending components,-2421.0,-2211.0,-210.0,94.0
refiner and blender net inputs ,p4,motor gasoline blending components,57.0,59.0,-2.0,30.0
refiner and blender net inputs ,p5,motor gasoline blending components,148.0,180.0,-32.0,80.0
refiner and blender net inputs ,us,rbob,254.0,538.0,-284.0,197.0
refiner and blender net inputs ,p1,rbob,564.0,586.0,-22.0,94.0
refiner and blender net inputs ,p2,rbob,136.0,90.0,46.0,107.0
refiner and blender net inputs ,p3,rbob,-577.0,-326.0,-251.0,-69.0
refiner and blender net inputs ,p4,rbob,55.0,51.0,4.0,55.0
refiner and blender net inputs ,p5,rbob,76.0,138.0,-62.0,10.0
refiner and blender net inputs ,us,cbob,96.0,297.0,-201.0,197.0
refiner and blender net inputs ,p1,cbob,1600.0,1770.0,-170.0,37.0
refiner and blender net inputs ,p2,cbob,264.0,139.0,125.0,150.0
refiner and blender net inputs ,p3,cbob,-1761.0,-1597.0,-164.0,-20.0
refiner and blender net inputs ,p4,cbob,-4.0,-4.0,0.0,-19.0
refiner and blender net inputs ,p5,cbob,-4.0,-11.0,7.0,47.0
refiner and blender net inputs ,us,gtab,131.0,18.0,113.0,-33.0
refiner and blender net inputs ,p1,gtab,131.0,18.0,113.0,-33.0
refiner and blender net inputs ,p2,gtab,0.0,0.0,0.0,0.0
refiner and blender net inputs ,p3,gtab,0.0,0.0,0.0,0.0
refiner and blender net inputs ,p4,gtab,0.0,0.0,0.0,0.0
refiner and blender net inputs ,p5,gtab,0.0,0.0,0.0,0.0
refiner and blender net inputs ,us,all other blending components,144.0,-25.0,169.0,59.0
refiner and blender net inputs ,p1,all other blending components,243.0,206.0,37.0,-37.0
refiner and blender net inputs ,p2,all other blending components,-97.0,-8.0,-89.0,-103.0
refiner and blender net inputs ,p3,all other blending components,-83.0,-288.0,205.0,183.0
refiner and blender net inputs ,p4,all other blending components,6.0,12.0,-6.0,-6.0
refiner and blender net inputs ,p5,all other blending components,76.0,53.0,23.0,23.0
refiner and blender net inputs ,us,fuel ethanol,927.0,931.0,-4.0,30.0
refiner and blender net inputs ,p1,fuel ethanol,334.0,339.0,-5.0,14.0
refiner and blender net inputs ,p2,fuel ethanol,254.0,253.0,1.0,7.0
refiner and blender net inputs ,p3,fuel ethanol,157.0,158.0,-1.0,4.0
refiner and blender net inputs ,p4,fuel ethanol,34.0,33.0,1.0,5.0
refiner and blender net inputs ,p5,fuel ethanol,147.0,148.0,-1.0,-1.0
refiner and blender net production ,us,finished motor gasoline,9881.0,10170.0,-289.0,-236.0
refiner and blender net production ,us,finished motor gasoline (excl. adjustment),10016.0,9904.0,112.0,433.0
refiner and blender net production ,p1,finished motor gasoline (excl. adjustment),3308.0,3339.0,-31.0,177.0
refiner and blender net production ,p2,finished motor gasoline (excl. adjustment),2598.0,2572.0,26.0,73.0
refiner and blender net production ,p3,finished motor gasoline (excl. adjustment),2248.0,2175.0,73.0,125.0
refiner and blender net production ,p4,finished motor gasoline (excl. adjustment),400.0,378.0,22.0,40.0
refiner and blender net production ,p5,finished motor gasoline (excl. adjustment),1462.0,1441.0,21.0,18.0
refiner and blender net production ,us,adjustment,-135.0,266.0,-401.0,-669.0
refiner and blender net production ,us,reformulated,3173.0,3162.0,11.0,210.0
refiner and blender net production ,p1,reformulated,1220.0,1209.0,11.0,63.0
refiner and blender net production ,p2,reformulated,363.0,351.0,12.0,46.0
refiner and blender net production ,p3,reformulated,512.0,521.0,-9.0,36.0
refiner and blender net production ,p4,reformulated,62.0,58.0,4.0,62.0
refiner and blender net production ,p5,reformulated,1016.0,1023.0,-7.0,3.0
refiner and blender net production ,us,blended with fuel ethanol,3172.0,3162.0,10.0,209.0
refiner and blender net production ,p1,blended with fuel ethanol,1220.0,1209.0,11.0,63.0
refiner and blender net production ,p2,blended with fuel ethanol,363.0,351.0,12.0,46.0
refiner and blender net production ,p3,blended with fuel ethanol,512.0,521.0,-9.0,36.0
refiner and blender net production ,p4,blended with fuel ethanol,62.0,58.0,4.0,62.0
