aspect,location,category,6/21/24,6/14/24,wow,yoy
crude oil production ,us,domestic production,13200.0,13200.0,0.0,1000.0
crude oil production ,us,alaska,410.0,414.0,-4.0,-17.0
crude oil production ,us,lower 48,12800.0,12800.0,0.0,1000.0
refiner inputs and utilization ,us,crude oil inputs,16532.0,16765.0,-233.0,278.0
refiner inputs and utilization ,p1,crude oil inputs,779.0,812.0,-33.0,128.0
refiner inputs and utilization ,p2,crude oil inputs,3881.0,3963.0,-82.0,-176.0
refiner inputs and utilization ,p3,crude oil inputs,9119.0,9129.0,-10.0,496.0
refiner inputs and utilization ,p4,crude oil inputs,619.0,645.0,-26.0,10.0
refiner inputs and utilization ,p5,crude oil inputs,2134.0,2217.0,-83.0,-181.0
refiner inputs and utilization ,us,gross inputs,16895.0,17143.0,-248.0,48.0
refiner inputs and utilization ,p1,gross inputs,829.0,834.0,-5.0,151.0
refiner inputs and utilization ,p2,gross inputs,3889.0,3975.0,-86.0,-193.0
refiner inputs and utilization ,p3,gross inputs,9337.0,9388.0,-51.0,307.0
refiner inputs and utilization ,p4,gross inputs,616.0,641.0,-25.0,8.0
refiner inputs and utilization ,p5,gross inputs,2224.0,2304.0,-80.0,-225.0
refiner inputs and utilization ,us,operable capacity,18326.0,18326.0,0.0,56.0
refiner inputs and utilization ,p1,operable capacity,910.0,910.0,0.0,32.0
refiner inputs and utilization ,p2,operable capacity,4246.0,4246.0,0.0,40.0
refiner inputs and utilization ,p3,operable capacity,9987.0,9987.0,0.0,70.0
refiner inputs and utilization ,p4,operable capacity,652.0,652.0,0.0,2.0
refiner inputs and utilization ,p5,operable capacity,2531.0,2531.0,0.0,-89.0
refiner inputs and utilization ,us,percent utilization,92.2,93.5,-1.2999999999999972,0.0
refiner inputs and utilization ,p1,percent utilization,91.1,91.7,-0.6000000000000085,13.899999999999991
refiner inputs and utilization ,p2,percent utilization,91.6,93.6,-2.0,-5.5
refiner inputs and utilization ,p3,percent utilization,93.5,94.0,-0.5,2.4000000000000057
refiner inputs and utilization ,p4,percent utilization,94.4,98.3,-3.8999999999999915,0.9000000000000057
refiner inputs and utilization ,p5,percent utilization,87.9,91.0,-3.0999999999999943,-5.599999999999994
stocks (million barrels) ,us,crude oil (including spr),832.893,828.017,4.875999999999976,30.586000000000013
stocks (million barrels) ,us,commercial,460.696,457.105,3.591000000000008,7.006000000000029
stocks (million barrels) ,p1,commercial,8.099,8.374,-0.27500000000000036,0.5810000000000004
stocks (million barrels) ,p2,commercial,116.311,117.258,-0.9469999999999885,-10.471999999999994
stocks (million barrels) ,us,"cushing, oklahoma",33.896,34.122,-0.2259999999999991,-9.347999999999999
stocks (million barrels) ,p3,"cushing, oklahoma",264.305,262.256,2.049000000000035,18.040999999999997
stocks (million barrels) ,p4,"cushing, oklahoma",24.036,24.163,-0.1269999999999989,-1.1199999999999974
stocks (million barrels) ,p5,"cushing, oklahoma",47.944,45.054,2.8900000000000006,-0.02599999999999625
stocks (million barrels) ,us,alaska in-transit,3.623,1.95,1.6730000000000003,0.7200000000000002
stocks (million barrels) ,us,spr,372.197,370.912,1.285000000000025,23.579999999999984
stocks (million barrels) ,us,total motor gasoline,233.886,231.232,2.6539999999999964,11.881
stocks (million barrels) ,p1,total motor gasoline,55.99,56.141,-0.15099999999999625,0.3260000000000005
stocks (million barrels) ,p2,total motor gasoline,47.854,47.834,0.01999999999999602,3.4780000000000015
stocks (million barrels) ,p3,total motor gasoline,90.003,88.749,1.2540000000000049,3.7579999999999956
stocks (million barrels) ,p4,total motor gasoline,8.056,8.111,-0.05500000000000149,1.544999999999999
stocks (million barrels) ,p5,total motor gasoline,31.982,30.397,1.5850000000000009,2.7729999999999997
stocks (million barrels) ,us,kerosene-type jet fuel,43.878,41.947,1.9309999999999974,2.7849999999999966
stocks (million barrels) ,p1,kerosene-type jet fuel,10.635,11.255,-0.620000000000001,-1.543000000000001
stocks (million barrels) ,p2,kerosene-type jet fuel,7.01,6.762,0.24800000000000022,-0.46499999999999986
stocks (million barrels) ,p3,kerosene-type jet fuel,14.849,13.108,1.7409999999999997,2.51
stocks (million barrels) ,p4,kerosene-type jet fuel,0.827,0.832,-0.0050000000000000044,0.04499999999999993
stocks (million barrels) ,p5,kerosene-type jet fuel,10.556,9.99,0.565999999999999,2.2369999999999983
stocks (million barrels) ,us,distillate fuel oil,121.263,121.64,-0.37699999999999534,6.852000000000004
stocks (million barrels) ,p1,distillate fuel oil,32.957,30.944,2.0130000000000017,6.472999999999999
stocks (million barrels) ,p2,distillate fuel oil,31.138,31.745,-0.6069999999999993,3.9150000000000027
stocks (million barrels) ,p3,distillate fuel oil,43.347,44.877,-1.5300000000000011,-1.0120000000000005
stocks (million barrels) ,p4,distillate fuel oil,3.84,4.088,-0.24800000000000022,-0.1770000000000005
stocks (million barrels) ,p5,distillate fuel oil,9.981,9.986,-0.005000000000000782,-2.3469999999999995
stocks (million barrels) ,us,residual fuel oil,28.463,28.987,-0.5239999999999974,-2.503999999999998
stocks (million barrels) ,p1,residual fuel oil,5.894,6.291,-0.39700000000000024,-0.47499999999999964
stocks (million barrels) ,p2,residual fuel oil,1.1,1.155,-0.05499999999999994,0.15400000000000014
stocks (million barrels) ,p3,residual fuel oil,17.089,17.367,-0.27800000000000225,-1.8220000000000027
stocks (million barrels) ,p4,residual fuel oil,0.208,0.229,-0.02100000000000002,-0.010000000000000009
stocks (million barrels) ,p5,residual fuel oil,4.172,3.945,0.22699999999999987,-0.3520000000000003
stocks (million barrels) ,us,propane/propylene,73.535,71.443,2.0919999999999987,-6.0120000000000005
stocks (million barrels) ,p1,propane/propylene,6.233,5.887,0.3460000000000001,0.7639999999999993
stocks (million barrels) ,p2,propane/propylene,22.297,20.933,1.3640000000000008,2.2010000000000005
stocks (million barrels) ,p3,propane/propylene,40.363,40.186,0.1769999999999996,-9.304000000000002
stocks (million barrels) ,us,padds 4 and 5 ,4.643,4.437,0.20599999999999952,0.32899999999999974
product supplied ,us,total product supplied,20689.0,21081.0,-392.0,383.0
product supplied ,us,finished motor gasoline,8969.0,9386.0,-417.0,-337.0
product supplied ,us,kerosene-type jet fuel,1683.0,1705.0,-22.0,-259.0
product supplied ,us,distillate fuel oil,3536.0,3977.0,-441.0,222.0
product supplied ,us,residual fuel oil,276.0,292.0,-16.0,157.0
product supplied ,us,propane/propylene,1027.0,712.0,315.0,694.0
product supplied ,us,other oils,5199.0,5009.0,190.0,-92.0
