id,lookup
WCRFPUS2,crude oil production usdomestic production
W_EPC0_FPF_SAK_MBBLD,crude oil production usalaska
W_EPC0_FPF_R48_MBBLD,crude oil production uslower 48
WCRRIUS2,refiner inputs and utilization uscrude oil inputs
WCRRIP12,refiner inputs and utilization p1crude oil inputs
WCRRIP22,refiner inputs and utilization p2crude oil inputs
WCRRIP32,refiner inputs and utilization p3crude oil inputs
WCRRIP42,refiner inputs and utilization p4crude oil inputs
WCRRIP52,refiner inputs and utilization p5crude oil inputs
WGIRIUS2,refiner inputs and utilization usgross inputs
WGIRIP12,refiner inputs and utilization p1gross inputs
WGIRIP22,refiner inputs and utilization p2gross inputs
WGIRIP32,refiner inputs and utilization p3gross inputs
WGIRIP42,refiner inputs and utilization p4gross inputs
WGIRIP52,refiner inputs and utilization p5gross inputs
WPULEUS3,refiner inputs and utilization uspercent utilization
W_NA_YUP_R10_PER,refiner inputs and utilization p1percent utilization
W_NA_YUP_R20_PER,refiner inputs and utilization p2percent utilization
W_NA_YUP_R30_PER,refiner inputs and utilization p3percent utilization
W_NA_YUP_R40_PER,refiner inputs and utilization p4percent utilization
W_NA_YUP_R50_PER,refiner inputs and utilization p5percent utilization
WGFRPUS2,refiner and blender net production usfinished motor gasoline
WGFRPP12,refiner and blender net production p1finished motor gasoline (excl. adjustment)
WGFRPP22,refiner and blender net production p2finished motor gasoline (excl. adjustment)
WGFRPP32,refiner and blender net production p3finished motor gasoline (excl. adjustment)
WGFRPP42,refiner and blender net production p4finished motor gasoline (excl. adjustment)
WGFRPP52,refiner and blender net production p5finished motor gasoline (excl. adjustment)
WKJRPUS2,refiner and blender net production uskerosene-type jet fuel
WKJRPP12,refiner and blender net production p1kerosene-type jet fuel
WKJRPP22,refiner and blender net production p2kerosene-type jet fuel
WKJRPP32,refiner and blender net production p3kerosene-type jet fuel
WKJRPP42,refiner and blender net production p4kerosene-type jet fuel
WKJRPP52,refiner and blender net production p5kerosene-type jet fuel
WDIRPUS2,refiner and blender net production usdistillate fuel oil
WDIRPP12,refiner and blender net production p1distillate fuel oil
WDIRPP22,refiner and blender net production p2distillate fuel oil
WDIRPP32,refiner and blender net production p3distillate fuel oil
WDIRPP42,refiner and blender net production p4distillate fuel oil
WDIRPP52,refiner and blender net production p5distillate fuel oil
WRERPUS2,refiner and blender net production usresidual fuel oil
