id,name,06/21,06/28
WCRFPUS2,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day),13200,13200
W_EPC0_FPF_SAK_MBBLD,Weekly Alaska Field Production of Crude Oil  (Thousand Barrels per Day),410,383
W_EPC0_FPF_R48_MBBLD,Weekly Lower 48 States Field Production of Crude Oil  (Thousand Barrels per Day),12800,12800
WCRRIUS2,Weekly U.S. Refiner Net Input of Crude Oil  (Thousand Barrels per Day),16532,16792
WCRRIP12,Weekly East Coast (PADD 1) Refiner Net Input of Crude Oil  (Thousand Barrels per Day),779,838
WCRRIP22,Weekly Midwest (PADD 2) Refiner Net Input of Crude Oil  (Thousand Barrels per Day),3881,3943
WCRRIP32,Weekly Gulf Coast (PADD 3) Refiner Net Input of Crude Oil  (Thousand Barrels per Day),9119,9246
WCRRIP42,Weekly Rocky Mountain (PADD 4) Refiner Net Input of Crude Oil  (Thousand Barrels per Day),619,624
WCRRIP52,Weekly West Coast (PADD 5) Refiner Net Input of Crude Oil  (Thousand Barrels per Day),2134,2140
WGIRIUS2,Weekly U.S. Gross Inputs into Refineries  (Thousand Barrels per Day),16895,17143
WGIRIP12,Weekly East Coast (PADD 1) Gross Inputs into Refineries  (Thousand Barrels per Day),829,841
WGIRIP22,Weekly Midwest (PADD 2) Gross Inputs into Refineries  (Thousand Barrels per Day),3889,3954
WGIRIP32,Weekly Gulf Coast (PADD 3) Gross Inputs into Refineries  (Thousand Barrels per Day),9337,9523
WGIRIP42,Weekly Rocky Mountain (PADD 4) Gross Inputs into Refineries  (Thousand Barrels per Day),616,621
WGIRIP52,Weekly West Coast (PADD 5) Gross Inputs into Refineries  (Thousand Barrels per Day),2224,2204
WOCLEUS2,Weekly U. S. Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),18326,18326
W_NA_YRL_R10_MBBLD,Weekly East Coast (PADD 1) Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),910,910
W_NA_YRL_R20_MBBLD,Weekly Midwest (PADD 2) Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),4246,4246
W_NA_YRL_R30_MBBLD,Weekly Gulf Coast (PADD 3) Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),9987,9987
W_NA_YRL_R40_MBBLD,Weekly Rocky Mountains (PADD 4) Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),652,652
W_NA_YRL_R50_MBBLD,Weekly West Coast (PADD 5) Operable Crude Oil Distillation Capacity   (Thousand Barrels per Calendar Day),2531,2531
WPULEUS3,Weekly U.S. Percent Utilization of Refinery Operable Capacity (Percent),92.2,93.5
W_NA_YUP_R10_PER,Weekly East Coast (PADD 1) Percent Utilization of Refinery Operable Capacity (Percent),91.1,92.4
W_NA_YUP_R20_PER,Weekly Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity (Percent),91.6,93.1
W_NA_YUP_R30_PER,Weekly Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity (Percent),93.5,95.4
W_NA_YUP_R40_PER,Weekly Rocky Mountains (PADD 4) Percent Utilization of Refinery Operable Capacity (Percent),94.4,95.2
